안나바, 알제리	라바 비타트 공항	AAE
Cassarate, Switzerland	Lugano	LUG
Logano, Switzerland	Lugano	LUG
Piandera, Switzerland	Lugano	LUG
Pregassona, Switzerland	Lugano	LUG
Signora, Switzerland	Lugano	LUG
Viganello, Switzerland	Lugano	LUG
루가노, 스위스	루가노 공항	LUG
루디아나, 인도	Ludhiana	LUH
루디아나, 인도	루디아나 에어포트	LUH
신시내티, OH, 미국	Cincinnati	LUK
신시내티, OH, 미국	신시내티 뮤니시플 렁큰 에어포트	LUK
더훙, 중국	Dehong Mangshi	LUM
더훙, 중국	더홍 망스 에어포트	LUM
루사카, ZMB	루사카국제공항	LUN
루사카, 잠비아	Kenneth Kaunda Intl	LUN
루사카, 잠비아	루사카국제공항	LUN
루사카, 잠비아	Lusaka	LUN
Luena, 앙골라	루에나 에어포트	LUO
칼라우파파, 몰로카이섬, 하와이, 미국	칼라우파파 에어포트	LUP
샌루이스, 아르헨티나	브리하디에르마요르세사르라울오헤다공항	LUQ
Cape Lisburne, AK, 미국	Cape Lisburne	LUR
Langgur, 인도네시아	두마투빈 에어포트	LUV
루왁, 인도네시아	Luwuk	LUW
Luxembourg, Grand Duchy of Luxembourg	Luxembourg	LUX
룩셈부르크, 룩셈부르크	룩셈부르크 핀델 공항	LUX
루블린, 폴란드	Lublin	LUZ
루블린, 폴란드	루블린 에어포트	LUZ
리빙스턴, 잠비아	Livingstone	LVI
리빙스턴, 잠비아	해리 므왕가 누쿰불라 국제공항	LVI
루카스 도 리오 베르데, 브라질	Bom Futuro Municipal	LVR
Lewisburg, WV	Greenbrier Valley	LWB
루이스버그, WV, 미국	그린브라이어밸리공항	LWB
팅월 에어포트	러윅, 영국	LWK
Gyumri, Armenia	Gyoumri	LWN
기윰리, 아르메니아	Gyoumri	LWN
기윰리, 아르메니아	시라크 공항	LWN
리비프, 우크라이나	Lviv Danylo Halytskyi Intl	LWO
리비프, 우크라이나	리비프 다닐로 로마노비치 국제공항	LWO
리비프, 우크라이나	Snilow	LWO
Lewiston, ID	Nez Perce Rgnl	LWS
루이스턴, ID, 미국	Nez Perce Cnt	LWS
루이스턴, ID, 미국	루이스턴-네즈 퍼스 카운티 에어포트	LWS
루이스턴, ID, 미국	Nez Perce Rgnl	LWS
Lawas, 말레이시아	라와스 공항	LWY
Lasa, China	Lhasa	LXA
라싸, 중국	Lhasa Gonggar	LXA
라싸, 중국	Lhasa	LXA
라싸, 중국	궁가공항	LXA
Louang Namtha, Laos	Luang Namtha	LXG
Luang Namtha, 라오스	루앙남타 공항	LXG
룩소르, 이집트	Luxor	LXR
룩소르, 이집트	룩소르 국제공항	LXR
바로스, 그리스	Lemnos	LXS
바로스, 그리스	렘노스 인터내셔널 에어포트	LXS
뤄양, 중국	Luoyang	LYA
뤄양, 중국	뤄양 베이자오 에어포트	LYA
리틀 케이맨, 케이맨 제도	Little Cayman	LYB
리틀 케이맨, 케이맨 제도	에드워드 보든 에어필드	LYB
릭셀리, 스웨덴	Lycksele Hedlunda	LYC
릭셀리, 스웨덴	뤼크셀레 에어포트	LYC
롄윈강, 중국	Baitabu	LYG
롄윈강, 중국	Lianyungang	LYG
롄윈강, 중국	리안윤강공항	LYG
Lynchburg, VA	Preston-Glenn Field	LYH
린치버그, VA, 미국	Preston-Glenn Field	LYH
린치버그, VA, 미국	린치버그지역공항	LYH
린이, 중국	린이 수부링 에어포트	LYI
파니살라바드, 파키스탄	Faisalabad	LYP
파니살라바드, 파키스탄	파이살라바드 국제공항	LYP
롱이어비엔, 노르웨이	스발바르공항	LYR
롱이어비엔, 노르웨이	Svalbard	LYR
리옹, 프랑스	Lyon-Saint Exupéry	LYS
리옹, 프랑스	생텍쥐페리공항	LYS
라자로 카르데나스, 멕시코	Lazaro Cardenas	LZC
라자로 카르데나스, 멕시코	라사로 카르데나스 에어포트	LZC
류저우, 중국	Liuzhou	LZH
난간 섬, 대만	마주난간공항	LZN
난간 섬, 대만	Matsu Nangan	LZN
루저우, 중국	Luzhou	LZO
리저드 섬, QLD, 호주	Lizard Island	LZR
리저드 섬, QLD, 호주	리저드 아일랜드 에어포트	LZR
Bayi, China	Nyingchi Mainling	LZY
Linzhi, 중국	Nyingchi Mainling	LZY
Linzhi, 중국	Lin Zhi	LZY
Madras, India	Chennai	MAA
첸나이, 인도	Chennai	MAA
첸나이, 인도	첸나이 국제공항	MAA
마라바, 브라질	마라바 에어포트	MAB
메이컨, 조지아주, 미국	Macon Downtown	MAC
메이컨, 조지아주, 미국	메이컨 다운타운 에어포트	MAC
메이컨, 조지아주, 미국	Middle Georgia Regional	MAC
메이컨, 조지아주, 미국	Smart	MAC
마드리드, 스페인	Adolfo Suárez Madrid–Barajas	MAD
마드리드, 스페인	Barajas	MAD
마드리드, 스페인	바라하스국제공항	MAD
미들랜드, TX, 미국	미드랜드국제공항	MAF
마당, 파푸아뉴기니	마당공항	MAG
마혼, 스페인	메노르카 공항	MAH
마혼, 스페인	Menorca/Mahon	MAH
마주로, MHL	마셜제도 국제공항	MAJ
마주로, 마셜제도	Amata Kabua Intl	MAJ
마주로, 마셜제도	마셜제도 국제공항	MAJ
Malakal, SSD	Malakal	MAK
Malakal, 남수단	Malakal	MAK
마타모로스, 멕시코	제너럴 세르반도 카날레스 인터내셔널 에어포트	MAM
맨체스터, 영국	맨체스터국제공항	MAN
마나우스, 브라질	Eduardo Gomes Intl	MAO
마나우스, 브라질	에두아르두 고메스 국제공항	MAO
매솟, 태국	Mae Sot	MAQ
매솟, 태국	매 솟 에어포트	MAQ
Momote, 파푸아뉴기니	모모테 에어포트	MAS
마우피티, 프랑스령 폴리네시아	마우피티 에어포트	MAU
마야구에즈, 푸에르토리코	Eugenio M De Hostos	MAZ
마야구에즈, 푸에르토리코	에우헤니오 마리아 데 오스토스 에어포트	MAZ
Mombasa, Kenya	Moi Intl	MBA
몸바사, 케냐	모이국제공항	MBA
몸바사, 케냐	Moi Intl	MBA
Mombetsu, Japan	Monbetsu	MBE
몬베쓰, 일본	몬베쓰공항	MBE
음베야, 탄자니아	Mbeya	MBI
몬테고베이, 자메이카	생스터 국제공항	MBJ
매니스티, MI, 미국	매니스티공항	MBL
Bay City, MI	MBS Intl	MBS
베이 시티, MI, 미국	MBS 국제공항	MBS
마스바테시티, 필리핀	무아세스 R. 에스피노사 에어포트	MBT
마스바테시티, 필리핀	Moises R. Espinosa	MBT
마리보르, 슬로베니아	Maribor Edvard Rusjan	MBX
마리보르, 슬로베니아	마리보르에드바르트루스얀공항	MBX
머시드, CA, 미국	메르세드시공항	MCE
머시드, CA, 미국	Merced Municipal	MCE
머시드, CA, 미국	Merced Mncp	MCE
맥그래스, AK, 미국	맥그래스 에어포트	MCG
캔자스 시티, 미주리주, 미국	캔자스시티국제공항	MCI
맥쿡, NE, 미국	Mccook	MCK
맥쿡, NE, 미국	맥쿡지역공항	MCK
올랜도, FL, 미국	올랜도국제공항	MCO
올랜도국제공항	올랜도, FL, 미국	MCO
마카파, 브라질	마카파-알베르투 알콜룸브레 인터내셔널 에어포트	MCP
미슈콜츠, 헝가리	미슈콜츠 에어포트	MCQ
Masqat, Oman	Seeb	MCT
무스카트, Oman	무스카트 국제공항	MCT
무스카트, OMN	무스카트 국제공항	MCT
무스카트, 오만	무스카트 국제공항	MCT
무스카트, 오만	Muscat Intl	MCT
무스카트, 오만	Seeb	MCT
Mcarthur River, NT, 호주	Mcarthur River	MCV
메이슨 시티, IA, 미국	메이슨 시티 뮤니시플 에어포트	MCW
마하치칼라, 러시아	우이타스 에어포트	MCX
마하치칼라, 러시아	Uytash	MCX
마루치도, QLD, 호주	Sunshine Coast	MCY
마루치도, QLD, 호주	선샤인코스트 공항	MCY
마세이우, 브라질	Zumbi dos Palmares Intl	MCZ
마세이우, 브라질	줌비 두스 피우마레스 국제공항	MCZ
Bunaken, Indonesia	Samratulangi	MDC
므나도, 인도네시아	삼라투랑이국제공항	MDC
므나도, 인도네시아	Sam Ratulangi Intl	MDC
므나도, 인도네시아	Samratulangi	MDC
메델린, 콜롬비아	Jose Maria Cordova Intl	MDE
메델린, 콜롬비아	모든 공항	MDE
메델린, 콜롬비아	Medellin Jose Maria Cordova	MDE
무단장, 중국	무단장 하이랑 공항	MDG
무단장, 중국	Mudanjiang	MDG
Mbandaka, 콩고민주공화국	음반다카 에어포트	MDK
만달레이, MMR	만달레이국제공항	MDL
만달레이, 미얀마	Annisaton	MDL
만달레이, 미얀마	만달레이국제공항	MDL
마르델플라타, 아르헨티나	아스토르피아졸라국제공항	MDQ
해리스버그, PA, 미국	해리스버그국제공항	MDT
Mendi, 파푸아뉴기니	멘디 에어포트	MDU
미드웨이국제공항	시카고, IL, 미국	MDW
시카고, IL, 미국	미드웨이국제공항	MDW
시카고, IL, 미국	Midway	MDW
멘도사, 아르헨티나	Governor Francisco Gabrielli Intl	MDZ
멘도사, 아르헨티나	고베르노르프란시스코가브리엘리국제공항	MDZ
멘도사, 아르헨티나	El Plumerillo	MDZ
마카에, 브라질	Benedito Lacerda	MEA
마카에, 브라질	마카에 에어포트	MEA
멜버른, VIC, 호주	Essendon	MEB
멜버른, VIC, 호주	에센든공항	MEB
에센든공항	멜버른, VIC, 호주	MEB
만타, 에콰도르	만타공항	MEC
Madinah, Saudi Arabia	Mohammad Abdulaziz	MED
메디나, 사우디아라비아	프린스 모하메드 빈 압둘아지즈 국제공항	MED
메디나, 사우디아라비아	Mohammad Abdulaziz	MED
메디나, 사우디아라비아	Prince Mohammad bin Abdulaziz	MED
Cengeite, New Caledonia	Maré	MEE
마레, 뉴칼레도니아	Maré	MEE
메함, 노르웨이	메함 에어포트	MEH
Meridian, MS	Key Field	MEI
머리디언, MS, 미국	Key Field	MEI
머리디언, MS, 미국	메리디언공항	MEI
멜버른, VIC, 호주	모든 공항	MEL
멤피스, TN, 미국	멤피스국제공항	MEM
Meulaboh, 인도네시아	Cut Nyak Dhien	MEQ
Meulaboh, 인도네시아	Seunagan	MEQ
Ciudad de Mexico, Mexico	All airports	MEX
멕시코시티, 멕시코	Benito Juarez	MEX
멕시코시티, 멕시코	모든 공항	MEX
Kilindoni, 탄자니아	Mafia	MFA
McAllen, TX	Miller Intl	MFE
멕알렌, TX, 미국	맥알렌-밀러 국제공항	MFE
무자파라드, 파키스탄	무자파라바드 에어포트	MFG
무자파라드, 파키스탄	Muzaffarabad	MFG
Beigan Dao, Taiwan	Matsu Beigan	MFK
베이간 아일랜드, 대만	Matsu Beigan	MFK
베이간 아일랜드, 대만	마주베이간공항	MFK
Jiuao, Macau	Macau	MFM
마카오, 마카오	마카오국제공항	MFM
메드퍼드, OR, 미국	Jackson County	MFR
메드퍼드, OR, 미국	로그 밸리 국제-메드포드 공항	MFR
메드퍼드, OR, 미국	Rogue Valley Intl–Medford	MFR
미푸웨, 잠비아	미푸웨공항	MFU
마나과, 니카라과	Augusto C Sandino	MGA
마나과, 니카라과	아우구스토 C. 산디노 국제공항	MGA
마운트갬비어, SA, 호주	마운트갬비어공항	MGB
마린가, 브라질	마린가지역공항	MGF
마린가, 브라질	Regional De Maringa	MGF
마린가, 브라질	Regional De Maringa SBMG	MGF
마게이트, 남아프리카공화국	마게이트 에어포트	MGH
뒤셀도르프-몬헨글라드바흐 에어포트	뒤셀도르프, 독일	MGL
Montgomery, AL	Dannelly Field	MGM
몽고메리, AL, 미국	Dannelly Field	MGM
몽고메리, AL, 미국	몽고메리공항	MGM
Muqdisho, Somalia	Mogadishu	MGQ
모가디슈, 소말리아	아덴 아드 국제공항	MGQ
모가디슈, 소말리아	Mogadishu	MGQ
망가이아, 쿡 제도	Mangaia Auau Airstrip	MGS
망가이아, 쿡 제도	만가이아아일랜드공항	MGS
Milingimbi, NT, 호주	Milingimbi	MGT
모건타운, WV, 미국	모건타운시립공항	MGW
모건타운, WV, 미국	Morgantown	MGW
메르구이, 미얀마	미에익 에어포트	MGZ
메르구이, 미얀마	Myeik	MGZ
카스트로, 칠레	Mocopulli	MHC
Mashhad, 이란	Mashad	MHD
만하임, 독일	만하임시티공항	MHG
마쉬 하버, 바하마	마시 하버 에어포트	MHH
맨해튼, KS, 미국	맨하튼지역공항	MHK
맨해튼, KS, 미국	Manhattan Mnpl	MHK
마리에함, 핀란드	마리에함 공항	MHQ
맨체스터, NH, 미국	보스턴공항	MHT
마이애미, 플로리다주, 미국	마이애미국제공항	MIA
메리다, 멕시코	Manuel Crescencio Rejón Intl	MID
메리다, 멕시코	마누엘 크레스센시오 레혼 국제공항	MID
메리다, 멕시코	Rejon	MID
몐양, 중국	Mian Yang	MIG
마릴리아, 브라질	마릴리아 에어포트	MII
마릴리아, 브라질	Dr G Vidigal	MII
밀라노, 이탈리아	모든 공항	MIL
메림불라, NSW, 호주	메림불라공항	MIM
모나스티르, 튀니지	Habib Bourguiba	MIR
모나스티르, 튀니지	하비브 부르기바 국제공항	MIR
Misima Island, 파푸아뉴기니	Misima Island	MIS
Maiduguri, 나이지리아	마이두구리 인터내셔널 에어포트	MIU
Man, 코트디부아르	만 에어포트	MJC
Mohenjodaro, 파키스탄	모헨조다로 에어포트	MJD
모조엔, 노르웨이	Kjaerstad	MJF
모조엔, 노르웨이	모쇼엔 에어포트 셰르스타드	MJF
트리폴리, LBY	미티가 인터내셔널 에어포트	MJI
트리폴리, 리비아	Mitiga	MJI
트리폴리, 리비아	미티가 인터내셔널 에어포트	MJI
Mbuji Mayi, 콩고민주공화국	음부지 마이 에어포트	MJM
Mahajanga, Madagascar	Amborovy	MJN
마하잔가, 마다가스카르	암보로비 공항	MJN
Lesbos, Greece	Mytilene	MJT
미틸레네, 그리스	미틸리니 국제공항	MJT
미틸레네, 그리스	Mytilene	MJT
Mamuju, 인도네시아	Mamuju	MJU
미르니, 러시아	미르니 에어포트	MJZ
캔자스 시티, 미주리주, 미국	Kansas City Downtown	MKC
캔자스 시티, 미주리주, 미국	찰스 B. 휠러 다운타운 에어포트	MKC
캔자스 시티, 미주리주, 미국	C.B. Wheeler Downtown	MKC
Milwaukee, Wisconsin	Milwaukee-Mitchell	MKE
밀워키, 위스콘신, 미국	General Mitchell Intl	MKE
밀워키, 위스콘신, 미국	Milwaukee-Mitchell	MKE
밀워키, 위스콘신, 미국	제너럴미첼국제공항	MKE
Miangas, 인도네시아	Miangas	MKF
Pulau Miangas, Indonesia	Miangas	MKF
머스키건, MI, 미국	머스키건공항	MKG
머스키건, MI, 미국	Muskegon	MKG
Hoolehua, 몰로카이섬, 하와이, 미국	몰로카이 공항	MKK
Hoolehua, 몰로카이섬, 하와이, 미국	Molokai	MKK
잭슨, TN, 미국	Mckellar Field	MKL
잭슨, TN, 미국	맥켈러-사입스 리저널 에어포트	MKL
무카, 말레이시아	무카 공항	MKM
무카, 말레이시아	Mukah	MKM
Makemo, 프랑스령 폴리네시아	Makemo	MKP
메라우케, 인도네시아	모파 에어포트	MKQ
메라우케, 인도네시아	Mopah	MKQ
맨카토, MN, 미국	맨카토 리저널 에어포트	MKT
마노콰리, 인도네시아	렌다니공항	MKW
마노콰리, 인도네시아	Rendani	MKW
매카이, QLD, 호주	매카이공항	MKY
Melacca, Malaysia	Batu Berendum	MKZ
말라카, 말레이시아	Batu Berendum	MKZ
말라카, 말레이시아	말라카 국제공항	MKZ
Luqa, Malta	Malta Intl	MLA
루카, MLT	몰타국제공항	MLA
루카, 몰타	Malta Intl	MLA
루카, 몰타	몰타국제공항	MLA
멜버른, 플로리다주, 미국	멜번국제공항	MLB
말레, MDV	말레국제공항	MLE
말레, 몰디브	Male	MLE
말레, 몰디브	말레국제공항	MLE
말레, 몰디브	Velana Intl	MLE
말랑, 인도네시아	압둘라흐만살레공항	MLG
Haberhaeuser, France	Mulhouse EuroAirport	MLH
Muhlhausen, France	Mulhouse EuroAirport	MLH
Mulhouse EuroAirport	뮐루즈, 프랑스	MLH
뮐루즈, 프랑스	Mulhouse EuroAirport	MLH
멀린, IL, 미국	콰드 시티 국제공항	MLI
멀린, IL, 미국	Moline	MLI
멀린, IL, 미국	Quad-City	MLI
Marshall, AK, 미국	마셜 돈 헌터 시니어 에어포트	MLL
모렐리아, 멕시코	모렐리아공항	MLM
모렐리아, 멕시코	Morelia	MLM
모렐리아, 멕시코	General Francisco Mujica Intl	MLM
멜리야, 스페인	메릴라공항	MLN
팔레오코리, 그리스	밀로스 아일랜드 내셔널 에어포트	MLO
먼로, LA, 미국	Huenefeld	MLU
먼로, LA, 미국	먼로 리저널공항	MLU
말라티아, 터키	Erhac	MLX
말라티아, 터키	에르학 공항	MLX
맨리 핫스프링스, AK, 미국	Manley Hot Springs	MLY
맨리 핫스프링스, AK, 미국	맨리 핫스프링스 에어포트	MLY
말뫼, 스웨덴	모든 공항	MMA
Ozora, Japan	Memanbetsu	MMB
오조라, 일본	Memanbetsu	MMB
오조라, 일본	메만베쓰공항	MMB
미나미다이토, 일본	Minami-Daito	MMD
미나미다이토, 일본	미나미다이토 공항	MMD
Darlington, United Kingdom	Teesside Intl	MME
달링턴, 영국	티사이드국제공항	MME
달링턴, 영국	Teesside Intl	MME
The Sierra Nevadas, CA	Mammoth Lakes	MMH
맴모스 레이크스, CA, 미국	Mammoth Lakes	MMH
맴모스 레이크스, CA, 미국	매머드 요세미티 에어포트	MMH
마쓰모토, 일본	마쓰모토 공항	MMJ
무르만스크, 러시아	미르만스크 에어포트	MMK
무르만스크, 러시아	Murmansk	MMK
Vila do Maio, 카보베르데	마이우 에어포트	MMO
모리스타운, NJ, 미국	모리스타운공항	MMU
말뫼, 스웨덴	말뫼공항	MMX
말뫼, 스웨덴	Malmo Sturup	MMX
말뫼공항	말뫼, 스웨덴	MMX
Miyakojima, Japan	Hirara	MMY
미야코지마, 일본	Hirara	MMY
미야코지마, 일본	미야코공항	MMY
Maimana, 아프가니스탄	Maimana	MMZ
Melangguane, 인도네시아	Melangguane	MNA
나칼라, 모잠비크	나칼라 에어포트	MNC
나칼라, 모잠비크	Nacala	MNC
마닝리다, NT, 호주	마닝그리다 에어포트	MNG
Montserrat, MSR	존 A. 오스본 공항	MNI
Montserrat, 몬트세랫	존 A. 오스본 공항	MNI
마닐라, 필리핀	Ninoy Aquino Intl	MNL
마닐라, 필리핀	Manila Intl	MNL
마닐라, 필리핀	마닐라국제공항	MNL
Minto, AK, 미국	민토 알 라이트 에어포트	MNT
Mawlamyine, Myanmar	Maulmyine	MNU
몰먀인, 미얀마	몰먀잉 에어포트	MNU
Moa, 쿠바	Orestes Acosta	MOA
모빌, AL, 미국	모빌지역공항	MOB
몬테스 클라로스, 브라질	몬치스클라루스 에어포트	MOC
마우메레, 인도네시아	와이 오티 에어포트	MOF
마우메레, 인도네시아	Waioti	MOF
Möng Hsat, 미얀마	몽삿 에어포트	MOG
Mitiaro Island, 쿡 제도	Mitiaro Island	MOI
Mitiaro Island, 쿡 제도	Nukuroa	MOI
몰데, 노르웨이	Aro	MOL
몰데, 노르웨이	아로몰데공항	MOL
모론다바, 마다가스카르	Morondava	MOQ
미놋, ND, 미국	마이넛국제공항	MOT
Mountain Village, AK, 미국	마운틴 빌리지 에어포트	MOU
모란바, QLD, 호주	모란바 에어포트	MOV
Moscow, Russia	All airports	MOW
모스크바, 러시아	모든 공항	MOW
Temae, 프랑스령 폴리네시아	테마에공항	MOZ
Mpacha, 나미비아	카티마 뮬릴로 공항	MPA
보라카이, 필리핀	Boracay	MPH
보라카이, 필리핀	Godofredo P. Ramos	MPH
보라카이, 필리핀	고도프레도P.라모스공항	MPH
Celleneuve, France	Méditerranée	MPL
몽펠리에, 프랑스	몽펠리에-메디테라니 공항	MPL
마푸토, 모잠비크	Maputo Intl	MPM
마푸토, 모잠비크	마푸투 국제공항	MPM
Mount Pleasant, FLK	마운트 플레전트 공항	MPN
Mount Pleasant, 포클랜드 제도 (말비나스 제도)	마운트 플레전트 공항	MPN
Mulatupo, 파나마	Mulatupo	MPP
마그니토고르스크, 러시아	마그니타고르스크 인터내셔널 에어포트	MQF
Khonuu, 러시아	Moma	MQJ
밀두라, VIC, 호주	밀두라공항	MQL
마르딘, 터키	마르딘 에어포트	MQM
모 이 라나, 노르웨이	모 이 라나 공항	MQN
Mbombela, South Africa	Kruger Mpumalanga	MQP
넬스프리트, 남아프리카공화국	Kruger Mpumalanga	MQP
넬스프리트, 남아프리카공화국	크루거 음푸말랑가 국제공항	MQP
넬스프리트, 남아프리카공화국	Nelspruit	MQP
마켓, MI, 미국	소여 국제공항	MQT
마켓, MI, 미국	Sawyer Intl	MQT
Mekele, Ethiopia	Makale	MQX
Meqele, Ethiopia	Makale	MQX
메크엘, 에티오피아	Makale	MQX
미스라타, 리비아	Misurata	MRA
마사이 마라, 케냐	마라세레나공항	MRE
마르세유, 프랑스	Marseille	MRS
마르세유, 프랑스	마르세유 프로방스공항	MRS
마르세유, 프랑스	Marseille Provence	MRS
포트 루이스, Mauritius	시우사구르 람룰람 국제공항	MRU
포트 루이스, 모리셔스	시우사구르 람룰람 국제공항	MRU
포트 루이스, 모리셔스	Plaisance	MRU
포트 루이스, 모리셔스	Sir Seewoosagur Ram.	MRU
미네랄니예보디, 러시아	미네랄나이 바디 에어포트	MRV
미네랄니예보디, 러시아	Mineralnye Vody	MRV
몬터레이, 캘리포니아주, 미국	몬터레이 리저널공항	MRY
모리, NSW, 호주	모리공항	MRZ
미사와, 일본	Misawa	MSJ
미사와, 일본	미사와공항	MSJ
Florence, AL	Muscle Shoals	MSL
플로렌스, AL, 미국	노스웨스트앨라배마지역공항	MSL
플로렌스, AL, 미국	Muscle Shoals	MSL
매디슨, WI, 미국	데인카운티지역공항	MSN
매디슨, WI, 미국	Truax Field	MSN
미줄라, MT, 미국	Missoula Intl	MSO
미줄라, MT, 미국	미졸라 국제공항	MSO
미니애폴리스, MN, 미국	Wold–Chamberlain Field	MSP
미니애폴리스, MN, 미국	미니애폴리스-세인트폴국제공항	MSP
미니애폴리스, MN, 미국	Minneapolis St Paul	MSP
민스크, BLR	민스크 국제공항	MSQ
민스크, 벨라루스	Minsk Intl 2	MSQ
민스크, 벨라루스	민스크 국제공항	MSQ
뮤스, 터키	무슈 에어포트	MSR
뮤스, 터키	Mus	MSR
마세나, NY, 미국	마세나 국제공항	MSS
마스트리히트, 네덜란드	Maastricht/Aachen	MST
마스트리히트, 네덜란드	마스트리히트-아헨 공항	MST
Maseru, Lesotho	Moshoeshoe Intl	MSU
마세루, LSO	모셰셰 1세 국제공항	MSU
마세루, 레소토	모셰셰 1세 국제공항	MSU
뉴올리언스, LA, 미국	Louis Armstrong	MSY
뉴올리언스, LA, 미국	루이암스트롱국제공항	MSY
나미베, 앙골라	나미베 에어포트	MSZ
나미베, 앙골라	Namibe	MSZ
Monte Libano, 콜롬비아	Monte Libano	MTB
몬트로즈, CO, 미국	몬트로즈카운티공항	MTJ
메틀라카틀라, AK, 미국	메틀라카틀라 시플레인 베이스	MTM
메틀라카틀라, AK, 미국	SPB	MTM
몬테리아, 콜롬비아	S. Jeronimo	MTR
몬테리아, 콜롬비아	로스 가르소네스 에어포트	MTR
미나티틀란, 멕시코	미나티틀란/코아트자코알코스국립공항	MTT
Mota Lava, 바누아투	모타 라바 에어포트	MTV
Nuevo Leon, Mexico	Gen Mariano Escobedo	MTY
몬테레이, 멕시코	Gen Mariano Escobedo	MTY
몬테레이, 멕시코	Monterrey Intl	MTY
몬테레이, 멕시코	제너럴 마리아노 에스코베도 국제공항	MTY
문다, 솔로몬제도	문다 에어포트	MUA
Ngamiland East, Botswana	Maun	MUB
마운, 보츠와나	마운 공항	MUB
Muenchen, Germany	Franz Josef Strauss	MUC
뮌헨, 독일	Franz Josef Strauss	MUC
뮌헨, 독일	뮌헨국제공항	MUC
뮌헨, 독일	Munich	MUC
와이메아, 하와이섬, 하와이, 미국	Waimea Kohala	MUE
와이메아, 하와이섬, 하와이, 미국	와이메아코할라공항	MUE
메르사 마트루흐, 이집트	메르사 마트루 공항	MUH
Mauke Island, 쿡 제도	Mauke Island	MUK
마루디, 말레이시아	마루디 공항	MUR
Mascara, 알제리	그리스 에어포트	MUW
물탄, 파키스탄	물탄 국제공항	MUX
프란세빌, 가봉	음'벵그 엘 하지 오마르 봉고 온딤바 인터내셔널 에어포트	MVB
프란세빌, 가봉	Franceville/Mvengue	MVB
몬테비데오, URY	카라스코 국제공항	MVD
몬테비데오, 우루과이	Carrasco	MVD
몬테비데오, 우루과이	Carrasco/General Cesáreo L. Berisso Intl	MVD
몬테비데오, 우루과이	카라스코 국제공항	MVD
모소로, 브라질	Dix-Sept Rosado	MVF
모소로, 브라질	Gov. 디세트 호자두 에어포트	MVF
미투, 콜롬비아	Mitu	MVP
미투, 콜롬비아	파비오 알베르토 레온 벤틀리 에어포트	MVP
마루아, 카메룬	살라크 에어포트	MVR
Mataiva, 프랑스령 폴리네시아	Mataiva	MVT
West Tisbury, MA	Martha's Vineyard	MVY
웨스트 티스버리, MA, 미국	마서스 비니어드 에어포트	MVY
매리언, IL, 미국	윌리엄스카운티지역공항	MWA
Maewo, 바누아투	Maewo	MWF
Maewo, 바누아투	Maewo-Naone	MWF
무안, 대한민국	무안 국제 공항	MWX
음완자, 탄자니아	Mwanza	MWZ
음완자, 탄자니아	음완자 에어포트	MWZ
Moro, 파푸아뉴기니	모로 에어포트	MXH
메히칼리, 멕시코	Mexicali	MXL
메히칼리, 멕시코	멕시칼리공항	MXL
말펜사국제공항	밀라노, 이탈리아	MXP
밀라노, 이탈리아	Malpensa	MXP
밀라노, 이탈리아	말펜사국제공항	MXP
Mörön, 몽골	모론 에어포트	MXV
모라, 스웨덴	모라-실리얀 에어포트	MXX
Kaying, China	Meixian	MXZ
Mei-hsien, China	Meixian	MXZ
메이저우, 중국	Meixian	MXZ
메이저우, 중국	메이셴 에어포트	MXZ
모루야, NSW, 호주	모루야공항	MYA
말린디, 케냐	말린디공항	MYD
Abraham Bay, The Bahamas	Mayaguana	MYG
에이브러햄 베이, 바하마	Mayaguana	MYG
에이브러햄 베이, 바하마	마야구아나 에어포트	MYG
마쓰야마, 일본	마쓰야마공항	MYJ
마리, 투르크메니스탄	메리 에어포트	MYP
Mrytle Beach, SC	Metropolitan Area	MYR
머틀비치, SC, 미국	Metropolitan Area	MYR
머틀비치, SC, 미국	머틀 비치 국제공항	MYR
미치나, 미얀마	Myitkyina	MYT
미치나, 미얀마	미치나 에어포트	MYT
Mekoryuk, AK, 미국	Ellis Field	MYU
Mekoryuk, AK, 미국	메코륙 에어포트	MYU
음트와라, 탄자니아	Mtwara	MYW
음트와라, 탄자니아	음타와라 에어포트	MYW
Kampong Butir, Malaysia	Miri	MYY
미리, 말레이시아	Miri	MYY
미리, 말레이시아	미리공항	MYY
Magong City, Taiwan	Makung	MZG
마궁시, 대만	Makung	MZG
마궁시, 대만	펑후 공항	MZG
메르지폰, 터키	Amasya Merzifon	MZH
메르지폰, 터키	아마시아 메르지폰 에어포트	MZH
마니살레스, 콜롬비아	라 누비아 에어포트	MZL
마니살레스, 콜롬비아	La Nubia	MZL
Manzanillo, 쿠바	Sierra Maestra	MZO
Mazar-I-Sharif, Afghanistan	마자르이샤리프 에어포트	MZR
Mazar-I-Sharif, 아프가니스탄	마자르이샤리프 에어포트	MZR
Mazatlán, Mexico	Gen Rafael Buelna	MZT
마사틀란, 멕시코	제네랄라파엘부엘나공항	MZT
Mulu, 말레이시아	물루 공항	MZV
Mechria, 알제리	Mechria	MZW
나그푸르, 인도	Dr. Babasaheb Ambedkar Intl	NAG
나그푸르, 인도	닥터 바바사헤브 암베드카르 인터내셔널 에어포트	NAG
Tahuna, 인도네시아	나하 에어포트	NAH
나히체반, 아제르바이잔	나히체반 공항	NAJ
날치크, 러시아	날차이크 에어포트	NAL
난디, Fiji	난디국제공항	NAN
난디, FJI	난디국제공항	NAN
